
     ######################################################################
   ##########################################################################
  ###                                                                      ###
 ###            Tinker-HP  ---  Software Tools for Molecular Design         ###
 ##                                                                          ##
 ##                       Version 1.2(GPU) Octobre 2020                      ##
 ##                                                                          ##
 ##     Copyright (c) Washington University in Saint Louis (WU)              ##
 ##                   The University of Texas at Austin                      ##
 ##                   Sorbonne Universites, UPMC (Sorbonne)                  ##
 ##                              1990-2020                                   ##
 ###                       All Rights Reserved                              ###
  ###                                                                      ###
   ##########################################################################
     ######################################################################

License Number : LICENSENUMBER

Cite this work as :

   Tinker-HP: a Massively Parallel Molecular Dynamics Package for Multiscale
   Simulations of Large Complex Systems with Advanced Polarizable Force Fields.

   Louis Lagardeère, Luc-Henri Jolly, Filippo Lipparini, Felix Aviat,
   Benjamin Stamm, Zhifeng F. Jing, Matthew Harger, Hedieh Torabifard,
   G. Andreès Cisneros, Michael J. Schnieders, Nohad Gresh, Yvon Maday,
   Pengyu Y. Ren, Jay W. Ponder and Jean-Philip Piquemal,

   Chem. Sci., 2018, 9, 956-972,  doi: 10.1039/c7sc04531j

  
 ***** Using the CUFFT engine *****
  

 Particle Mesh Ewald Parameters :

     Type                Ewald Alpha    Grid Dimensions    Spline Order

   Electrostatics           0.3767        60   60   60           5
   Polarization             0.3767        60   60   60           5

 Random Number Generator Initialized with SEED :      326105137
 SAVE-STRESS: The units of the stress tensor components are Atmospheres

 --- Tinker-HP: loading restart file for EtOH_rep02 system --- 

 Molecular Dynamics Trajectory via Velocity Verlet Algorithm
     MD Step     E total   E Potential     E Kinetic       Temp       Pres     Stress(xx)     Stress(yy)     Stress(zz)     Stress(xy)     Stress(yz)     Stress(xz)
         1     4052.2025    -3911.2297     7963.4322     296.87     -65.05      -505.6220      -377.1029       687.5805      -271.1346         9.4270        49.8107
         2     4047.1898    -3968.8755     8016.0652     298.84    -141.67       -85.8715      -595.8872       256.7504      -161.0730       337.0726       280.8896
         3     4043.7029    -4012.5023     8056.2053     300.33    -257.10       159.3216      -777.0220      -153.5985      -102.2136       467.6862       362.6684
         4     4045.1988    -3993.1576     8038.3564     299.67    -319.47       241.5343      -834.2966      -365.6566       -84.6812       354.1359       260.8619
         5     4050.1036    -3937.8502     7987.9538     297.79    -335.75       205.0718      -809.6037      -402.7269       -77.7163        92.4782        65.1255
         6     4052.5818    -3919.1181     7971.6999     297.18    -382.49         4.6471      -761.3861      -390.7450       -25.9015      -146.2206      -111.3963
         7     4050.0456    -3973.5182     8023.5638     299.12    -481.59      -372.2023      -651.8894      -420.6683        81.1584      -267.6327      -178.5777
         8     4042.8945    -4059.1497     8102.0442     302.04    -532.43      -696.7613      -416.0489      -484.4659       201.0275      -263.9920      -120.2992
         9     4041.1480    -4081.8843     8123.0323     302.82    -404.82      -607.8090       -59.1756      -547.4837       291.7312      -128.4865       -20.9425
        10     4045.5550    -4022.5759     8068.1309     300.78    -119.99       -21.9527       307.5348      -645.5497       335.0293       134.6070        54.0127
        11     4049.7562    -3949.8289     7999.5851     298.22     146.82       752.4807       523.8118      -835.8331       337.4492       453.7290       110.1214
        12     4049.6866    -3929.1247     7978.8113     297.45     236.59      1332.5935       467.4577     -1090.2701       293.3086       690.0474       142.4885
        13     4044.6782    -3955.7809     8000.4590     298.25     164.56      1560.3910       202.6642     -1269.3645       204.5913       720.7261       131.2438
        14     4042.1720    -3958.3212     8000.4932     298.26      92.11      1463.6197       -31.8018     -1155.4928       192.3330       548.5039       119.1493
        15     4045.3507    -3899.6772     7945.0278     296.19     133.70      1165.4878       -87.9294      -676.4610       388.6795       263.8390       190.1481
        16     4050.4157    -3822.6488     7873.0645     293.51     250.47       829.6226       -53.4234       -24.7886       706.4472       -31.6067       336.6816
        17     4054.7289    -3800.5703     7855.2992     292.84     311.64       511.0670       -90.7619       514.6068       913.0885      -255.8422       428.4426
        18     4050.1795    -3880.3935     7930.5729     295.65     241.43       189.8190      -233.8812       768.3546       887.2529      -377.6179       378.2319
        19     4041.4906    -3985.6682     8027.1589     299.25     155.19       -19.7296      -328.3510       813.6656       666.9537      -432.3185       239.7599
        20     4042.8803    -3994.6640     8037.5443     299.64     214.94        -1.0067      -222.5170       868.3565       324.1515      -454.6214        75.7278
        21     4050.4013    -3927.6962     7978.0975     297.42     368.02       173.4369       -36.3517       966.9793       -60.3904      -425.9397       -96.5057
        22     4053.3776    -3895.5568     7948.9344     296.33     413.70       281.6319        -4.6906       964.1499      -331.3405      -350.7838      -235.7999
        23     4049.1992    -3943.7082     7992.9074     297.97     262.08       115.8060      -124.5033       794.9406      -354.5447      -295.2841      -283.7119
        24     4043.0087    -4010.5436     8053.5524     300.23      33.66      -297.7826      -137.0691       535.8235      -150.0207      -332.6818      -200.7356
        25     4042.7443    -4008.8926     8051.6369     300.16     -91.32      -735.8166       134.0173       327.8380       172.5456      -494.8283        -4.6846
        26     4048.1349    -3937.4735     7985.6083     297.70     -72.45     -1012.2126       558.7274       236.1483       497.8094      -750.1605       208.9558
        27     4052.3438    -3872.8068     7925.1506     295.45     -20.13     -1095.1223       868.1670       166.5589       681.3642      -991.4024       325.0338
        28     4053.1673    -3875.6623     7928.8296     295.58     -49.59     -1111.6804       960.2661         2.6385       612.3018     -1120.7060       292.4342
        29     4047.4378    -3945.5937     7993.0315     297.98    -162.77     -1132.5981       887.5962      -243.2936       340.8085     -1093.7169       156.3324
        30     4043.1423    -3998.9323     8042.0746     299.81    -237.02      -989.5313       757.7399      -479.2586        28.0436      -895.0750        11.5977
        31     4045.7260    -3977.0280     8022.7541     299.09    -190.60      -591.3043       670.3013      -650.8056      -166.1506      -540.2609       -93.2817
